,cpu_load,gpu_load
748,0.2770661170088329,0.6831444487130234
749,0.2785519635303713,0.6883307721859393
750,0.2792348206551635,0.6910199769496734
751,0.2797532862499131,0.6952458701498271
752,0.2792869833521962,0.6955339992316557
753,0.3016458121257722,0.7583461390703035
754,0.3070833781194873,0.7889838647714177
755,0.30164107006240554,0.7780349596619286
756,0.2994486560992419,0.7715040338071456
757,0.30514703557812073,0.7860065309258548
758,0.3011573795990111,0.7809162504802152
759,0.3033532710753103,0.7975701114099115
760,0.30523270885627757,0.8107280061467537
761,0.31752571779032496,0.8490491740299654
762,0.32196112772589613,0.8556761429120245
763,0.3543715501489008,0.9516231271609681
764,0.32085306558589777,0.8458797541298501
765,0.36051884495981895,0.9436515558970417
766,0.34894979103307433,0.9408663081060314
767,0.33001473201019227,0.8903476757587399
768,0.3028284827294052,0.8086438724548597
769,0.2977528942393414,0.778073376872839
770,0.2846695414108587,0.7137245485977717
771,0.2849082252669782,0.7143968497887053
772,0.2842237874543972,0.7123799462159046
773,0.2839945877250109,0.7121878601613523
774,0.28783407836417785,0.7243853246254321
775,0.2766333246922401,0.692402996542451
776,0.2846964131032695,0.7185266999615827
777,0.28415897925505346,0.7169900115251632
778,0.3177169810127783,0.8142431809450633
779,0.3517792221751529,0.9196888205916252
780,0.3455117950922806,0.8911160199769498
781,0.3129116901346114,0.7930080676142911
782,0.31613787391169645,0.8293123319247022
783,0.33152270816077495,0.8684018440261236
784,0.3496942949816324,0.9300614675374567
785,0.3302676420564116,0.8783422973492124
786,0.3459543876731644,0.9171436803688051
787,0.3292686473738453,0.8879466000768343
788,0.33703456648056707,0.902641183250096
789,0.33268609437338376,0.9165194006915097
790,0.31698670325432005,0.8590856703803303
791,0.31590393211894363,0.8483768728390318
792,0.2795180799069291,0.6984537072608528
793,0.28516903875214183,0.7070975797157125
794,0.2796318894277278,0.6851997694967344
795,0.2795006923412515,0.6826834421820976
796,0.27880993177751506,0.6789569727237802
797,0.27760702837018447,0.6742508643872455
798,0.28744522916811566,0.7036400307337687
799,0.27999070555580147,0.6827986938148289
800,0.29073622114454445,0.7149731079523626
801,0.283419217369862,0.6976853630426432
802,0.30686397865439213,0.765395697272378
803,0.3242057043860925,0.8218689973107952
804,0.348330161419837,0.8992796772954282
805,0.33580479138082564,0.8734729158663082
806,0.3580340037557142,0.960363042643104
807,0.3271932043070581,0.8600364963503648
808,0.3315669674188633,0.8717537456780636
809,0.33739022123306295,0.8963023434498655
